"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"xPTS"
1;"Leicester";38;23;12;3;68;36;81;68.42;58.52;45.02;68.94
2;"Arsenal";38;20;11;7;65;36;71;73.53;72.01;33.86;77.01
3;"Tottenham";38;19;13;6;69;35;70;63.42;59.61;37.08;69.43
4;"Manchester City";38;19;9;10;71;41;66;66.2;60.11;37.47;70.14
5;"Manchester United";38;19;9;10;49;35;66;45.42;43.14;39.66;56.44
6;"Southampton";38;18;9;11;59;41;63;56.2;53.09;44.29;61.08
7;"West Ham";38;16;14;8;65;51;62;54.4;51.36;55.48;49.8
8;"Liverpool";38;16;12;10;63;50;60;54.37;52.84;37.88;63.29
9;"Stoke";38;14;9;15;41;55;51;42.63;38.82;54.35;48.3
10;"Chelsea";38;12;14;12;59;53;50;54.48;50.67;44.63;59.62
11;"Everton";38;11;14;13;59;55;47;53.98;50.18;54.75;52.69
12;"Swansea";38;12;11;15;42;52;47;39.96;36.15;53.63;42.4
13;"Watford";38;12;9;17;40;50;45;43.2;37.87;51.85;48.25
14;"West Bromwich Albion";38;10;13;15;34;48;43;39.75;35.93;51.94;42.3
15;"Crystal Palace";38;11;9;18;39;51;42;42.51;38.7;52.94;44.89
16;"Bournemouth";38;11;9;18;45;67;42;38.71;35.66;53.97;43.74
17;"Sunderland";38;9;12;17;48;62;39;40.52;38.23;58.85;40.52
18;"Newcastle United";38;9;10;19;44;65;37;37.61;35.32;55.42;40.21
19;"Norwich";38;9;7;22;39;67;34;39.19;38.43;58.93;39.18
20;"Aston Villa";38;3;8;27;27;76;17;26.53;25;59.01;29.83
